[2020-05-23T20:24:57-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2020-05-23T20:25:22-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-23T20:26:08-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-05-23T20:26:59-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-05-23T20:26:59-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-05-23T20:32:04-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-23T20:32:04-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-05-23T20:32:58-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-23T20:32:58-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-05-23T21:00:25-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-23T21:00:25-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-05-23T21:03:55-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-23T21:03:55-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-05-23T21:04:46-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-23T21:04:46-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-05-23T21:05:32-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-23T21:05:32-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-05-23T21:11:33-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-23T21:11:33-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-05-23T22:01:39-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-23T22:01:39-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-05-23T22:22:48-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-23T22:22:48-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: d51898bb7a; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-05-23T23:13:49-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-05-23T23:13:49-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 0adf81b797; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
