[2020-06-23T00:34:52-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_WORLD_UNLOADED; game type NONE (11)
[2020-06-28T17:48:10-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-06-28T18:07:34-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_WORLD_UNLOADED; game type NONE (11)
[2020-06-28T18:07:43-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_WORLD_LOADED; game type VIEW_LEGENDS (2)
[2020-06-28T18:36:42-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_WORLD_UNLOADED; game type NONE (11)
[2020-06-28T18:36:59-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-06-28T18:53:22-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-06-28T19:03:02-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-06-28T19:03:31-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-06-28T19:04:01-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-06-28T19:04:01-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-06-28T19:22:44-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-06-28T19:22:45-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-06-28T19:27:58-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-06-28T19:27:58-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-07-01T12:50:22-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-07-01T12:50:22-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-07-01T14:07:32-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-07-01T14:07:32-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-07-01T14:57:30-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-07-01T14:57:32-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-07-01T17:43:36-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-07-01T17:44:35-0700] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 9a53e3579a; save: region3; SC_WORLD_UNLOADED; game type NONE (11)
